id,listing_id,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
1,2992450,9,0,0,2014-07-01,2022-08-17,3.56,3.44,3.56,4.22,4.56,3.22,3.67,0.07
2,3820211,305,16,0,2014-08-15,2024-07-31,4.75,4.89,4.87,4.85,4.81,4.82,4.78,2.49
3,5651579,366,40,5,2015-05-08,2024-08-27,4.51,4.62,4.45,4.81,4.87,4.76,4.63,3.22
4,6623339,328,25,0,2015-06-07,2024-07-31,4.73,4.83,4.71,4.82,4.7,4.8,4.72,2.91
5,8035768,56,4,0,2015-09-02,2024-01-28,4.75,4.81,4.78,4.92,4.8,4.74,4.75,0.51
6,8035784,18,0,0,2015-10-17,2020-07-25,4.61,4.83,4.61,4.78,4.83,4.67,4.72,0.17
7,9005989,598,34,0,2016-08-07,2024-07-17,4.79,4.86,4.83,4.95,4.93,4.87,4.77,6.08
8,9501054,392,39,1,2016-02-02,2024-08-28,4.54,4.71,4.5,4.83,4.86,4.75,4.66,3.75
9,10768745,697,116,9,2016-02-05,2024-08-30,4.82,4.89,4.78,4.94,4.88,4.93,4.91,6.67
10,11253948,158,30,0,2016-05-29,2024-05-22,4.95,4.92,4.97,4.99,4.96,4.94,4.85,1.57
11,11639446,231,8,0,2016-05-31,2024-02-29,4.81,4.87,4.37,4.94,4.96,4.52,4.87,2.29
12,12284708,61,0,0,2016-05-23,2019-10-26,4.61,4.75,4.46,4.86,4.81,4.73,4.68,0.6
13,12799126,28,2,0,2020-08-23,2024-02-06,4.82,4.89,4.57,4.82,4.89,4.71,4.75,0.57
14,13083497,184,18,2,2016-07-01,2024-08-26,4.67,4.79,4.73,4.9,4.86,4.79,4.77,1.85
15,14316232,51,4,1,2016-08-07,2024-09-02,4.67,4.8,4.57,4.94,4.74,4.64,4.76,0.52
16,14989805,100,20,0,2016-11-13,2024-07-31,4.95,4.97,4.94,4.98,4.98,4.87,4.67,1.05
17,15580397,43,6,0,2017-05-29,2024-07-31,4.72,4.91,4.86,4.86,4.81,4.86,4.79,0.49
18,16531782,425,127,14,2020-05-28,2024-08-28,4.74,4.84,4.64,4.85,4.77,4.9,4.83,8.16
19,17238066,132,3,0,2017-04-23,2024-08-01,4.92,4.91,4.53,4.96,4.96,4.67,4.94,1.47
20,17514620,54,3,0,2017-03-15,2024-04-07,4.74,4.7,4.56,4.93,4.94,4.76,4.65,0.59
21,18341426,58,1,1,2018-03-12,2024-08-13,4.97,4.93,5.0,4.98,5.0,4.97,4.79,0.73
22,19527043,80,10,4,2018-10-17,2024-08-30,4.96,4.96,4.94,4.98,4.95,4.95,4.94,1.12
23,19571496,27,2,0,2018-06-09,2024-02-17,4.59,4.63,4.56,4.96,4.89,4.67,4.67,0.36
24,20519885,101,16,0,2017-11-08,2024-07-06,4.92,4.95,4.91,4.98,4.99,4.88,4.88,1.21
25,20620135,57,2,0,2017-10-17,2024-07-22,4.93,4.91,4.79,4.91,4.91,4.82,4.74,0.68
26,20633175,131,1,0,2018-03-26,2024-05-12,4.91,4.93,4.93,4.98,4.96,4.89,4.87,1.67
27,20671966,41,2,0,2017-09-11,2024-05-21,4.9,4.9,4.93,4.93,4.98,4.93,4.85,0.48
28,21052414,42,5,0,2018-06-30,2024-07-26,4.76,4.83,4.69,4.98,4.95,4.64,4.64,0.56
29,21392315,119,18,1,2017-11-20,2024-08-23,4.87,4.91,4.85,4.91,4.93,4.89,4.83,1.44
30,21449583,8,0,0,2017-12-25,2018-07-27,5.0,5.0,5.0,5.0,4.88,5.0,4.88,0.1
31,21752534,172,19,2,2017-11-27,2024-08-15,4.74,4.85,4.77,4.91,4.98,4.56,4.75,2.08
32,21769213,26,6,1,2017-12-28,2024-08-10,4.88,4.88,4.77,4.96,5.0,4.85,4.69,0.32
33,21769439,23,2,1,2017-12-16,2024-08-31,4.83,4.74,4.65,4.96,5.0,4.74,4.78,0.28
34,22398196,111,13,2,2018-01-13,2024-08-21,4.92,4.9,4.93,4.97,4.95,4.93,4.85,1.37
35,22431640,456,33,4,2018-04-29,2024-08-28,4.81,4.89,4.78,4.98,4.97,4.78,4.82,5.89
36,24120690,121,11,0,2018-04-22,2024-02-02,4.93,4.95,4.97,4.97,4.98,4.97,4.97,1.56
37,24606880,45,7,1,2018-10-13,2024-08-08,4.93,4.96,4.93,4.96,4.96,4.96,4.87,0.63
38,24655782,397,67,8,2018-05-04,2024-08-31,4.89,4.93,4.83,4.97,4.96,4.82,4.88,5.14
39,25549565,853,144,2,2018-06-09,2024-08-17,4.9,4.94,4.9,4.97,4.95,4.92,4.91,11.22
40,25976514,13,1,0,2018-06-29,2024-08-01,4.92,5.0,5.0,5.0,5.0,5.0,4.77,0.17
41,26139592,118,19,3,2018-08-05,2024-09-02,4.84,4.92,4.82,4.97,4.98,4.96,4.8,1.59
42,27670660,24,4,0,2019-02-25,2024-07-01,5.0,5.0,4.92,5.0,5.0,4.96,4.92,0.36
43,27692601,14,0,0,2018-10-18,2022-10-08,4.93,5.0,4.71,5.0,4.86,5.0,5.0,0.2
44,28341274,73,19,3,2018-09-25,2024-09-03,4.96,4.95,4.99,4.99,5.0,4.96,4.97,1.01
