id,listing_id,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365
1,2992450,28,28,1125,1125,28.0,1125.0,0,0,0,158
2,3820211,2,3,1125,1125,2.8,1125.0,4,31,61,336
3,5651579,1,2,1125,1125,1.3,1125.0,1,4,34,34
4,6623339,1,3,1125,1125,2.7,1125.0,0,0,4,279
5,8035768,2,2,1125,1125,2.0,1125.0,30,57,87,362
6,8035784,3,3,65,65,3.0,65.0,30,60,90,179
7,9005989,1,1,1125,1125,1.0,1125.0,0,0,0,159
8,9501054,1,3,60,60,1.7,60.0,21,42,71,71
9,10768745,1,1,1125,1125,1.0,1125.0,5,10,40,123
10,11253948,1,2,1124,1124,1.3,1124.0,23,51,81,354
11,11639446,1,1,1125,1125,1.0,1125.0,30,60,90,365
12,12284708,18,18,1125,1125,18.0,1125.0,0,3,33,308
13,12799126,5,5,1125,1125,5.0,1125.0,0,3,33,307
14,13083497,2,2,1125,1125,2.0,1125.0,22,39,64,316
15,14316232,18,18,1125,1125,18.0,1125.0,22,28,58,333
16,14989805,1,4,730,730,2.0,730.0,0,0,12,287
17,15580397,2,2,1125,1125,2.0,1125.0,30,60,87,92
18,16531782,1,1,1125,1125,1.0,1125.0,9,25,47,318
19,17238066,3,3,1125,1125,3.0,1125.0,29,59,89,364
20,17514620,18,18,1125,1125,18.0,1125.0,3,33,63,338
21,18341426,2,3,1125,1125,2.3,1125.0,30,60,90,365
22,19527043,1,2,1125,1125,1.3,1125.0,21,43,69,242
23,19571496,18,18,730,730,18.0,730.0,3,33,63,338
24,20519885,4,4,1125,1125,4.0,1125.0,17,41,71,326
25,20620135,4,4,1125,1125,4.0,1125.0,28,58,88,363
26,20633175,2,2,1125,1125,2.0,1125.0,6,24,54,328
27,20671966,2,2,1125,1125,2.0,1125.0,8,11,41,316
28,21052414,10,18,1125,1125,15.7,1125.0,1,28,58,333
29,21392315,2,2,730,730,2.0,730.0,7,30,60,335
30,21449583,4,4,1125,1125,4.0,1125.0,30,60,90,365
31,21752534,3,3,730,730,3.0,730.0,22,52,82,357
32,21769213,18,18,1125,1125,18.0,1125.0,4,34,64,314
33,21769439,18,18,1125,1125,18.0,1125.0,0,13,43,318
34,22398196,1,2,1125,1125,2.0,1125.0,6,25,29,291
35,22431640,1,1,1125,1125,1.0,1125.0,5,30,59,59
36,24120690,2,2,1125,1125,2.0,1125.0,1,3,3,3
37,24606880,2,2,1125,1125,2.0,1125.0,0,16,46,321
38,24655782,1,1,1125,1125,1.0,1125.0,18,40,68,68
39,25549565,1,1,1125,1125,1.0,1125.0,7,17,38,125
40,25976514,3,3,1125,1125,3.0,1125.0,4,34,64,338
41,26139592,2,2,1125,1125,2.0,1125.0,19,37,67,341
42,27670660,2,2,1125,1125,2.0,1125.0,7,22,39,313
43,27692601,3,3,1125,1125,3.0,1125.0,30,60,90,179
44,28341274,1,1,1125,1125,1.0,1125.0,24,49,76,350
45,28400263,1,2,730,730,1.3,730.0,17,39,64,235
46,28519423,2,2,1125,1125,2.0,1125.0,30,57,57,58
47,28722270,1,3,1125,1125,2.2,1125.0,15,37,67,339
48,28868857,1,3,1125,1125,2.2,1125.0,15,36,66,338
49,28929840,1,1,1125,1125,1.0,1125.0,28,32,32,74
50,29605579,1,3,1125,1125,2.9,1125.0,1,27,57,332
51,30189794,2,2,1125,1125,2.0,1125.0,0,0,0,69
52,31210362,2,2,1125,1125,2.0,1125.0,21,51,81,356
53,32279028,1,1,1125,1125,1.0,1125.0,0,0,0,0
54,32450400,3,3,1125,1125,3.0,1125.0,30,60,90,179
55,32993402,1,3,1125,1125,2.2,1125.0,21,44,74,283
56,33558235,1,3,1125,1125,2.2,1125.0,26,40,70,345
57,34330970,1,1,1125,1125,1.0,1125.0,26,50,79,79
58,35793179,1,2,1125,1125,1.3,1125.0,11,29,54,227
59,35914565,1,1,1125,1125,1.0,1125.0,17,40,69,69
60,36443605,2,2,1125,1125,2.0,1125.0,30,60,90,365
61,38321579,1,1,1125,1125,1.0,1125.0,10,36,64,153
62,39093517,4,4,1125,1125,4.0,1125.0,30,56,86,361
63,39698576,5,5,1125,1125,5.0,1125.0,30,60,90,365
64,39836487,1,1,1125,1125,1.0,1125.0,7,22,51,134
65,39864828,1,2,14,14,1.3,14.0,5,24,42,195
66,40491172,3,3,700,700,3.0,700.0,18,25,45,311
67,40828178,1,1,800,800,1.0,800.0,0,0,0,3
68,40897436,7,7,1125,1125,7.0,1125.0,11,22,22,68
69,41319631,30,30,1125,1125,30.0,1125.0,0,0,0,215
70,42009788,7,7,1125,1125,7.0,1125.0,0,0,19,294
71,42092736,1,1,1125,1125,1.0,1125.0,6,23,53,142
72,42389085,2,7,1125,1125,3.1,1125.0,0,0,0,247
73,42391372,3,3,1125,1125,3.0,1125.0,29,56,86,350
74,42567833,70,70,1125,1125,70.0,1125.0,30,60,90,365
75,42763847,1,2,1125,1125,1.3,1125.0,0,3,33,122
76,43208391,2,2,29,29,2.0,29.0,27,55,84,84
77,43459803,3,4,1125,1125,3.4,1125.0,28,54,84,359
78,43736299,1,3,365,1125,1.0,1107.4,29,55,85,359
79,43955950,2,2,1125,1125,2.0,1125.0,22,46,75,75
