id,listing_url,last_scraped,name,description,neighborhood_overview,picture_url,host_id,neighbourhood,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,base_price,minimum_nights,maximum_nights,has_availability,instant_bookable
2992450,https://www.airbnb.com/rooms/2992450,2024-09-05,Luxury 2 bedroom apartment,"The apartment is located in a quiet neighborhood . Fully furnished. Linens and towels are provided. It's two blocks away from downtown Albany, and the Palace theater.",no overview,https://a0.muscache.com/pictures/44627226/0e72c75c_original.jpg,4621559,THIRD WARD,42.65789,-73.7537,Entire rental unit,Entire home/apt,4,1.0,1 bath,2.0,2.0,"[""TV with standard cable"", ""Air conditioning"", ""Carbon monoxide alarm"", ""Wifi"", ""Essentials"", ""Kitchen"", ""Smoke alarm"", ""Heating""]",70.0,28,1125,True,False
3820211,https://www.airbnb.com/rooms/3820211,2024-09-05,Restored Precinct in Center Sq. w/Parking,"Cozy, cool little 1BR Apt in the heart Albany's Center Sq. close to everything.  Enjoy the hip, walking neighborhood and verdant Washington Park in a neighborhood with great eats, architecture and culture... Everything you need down to the corkscrew.","Great restaurants, architecture, walking, people watching and arts.",https://a0.muscache.com/pictures/prohost-api/Hosting-3820211/original/7a087429-5f8f-4c7f-990a-291a82b784dc.jpeg,19648678,SIXTH WARD,42.65222,-73.76724,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Iron"", ""Shampoo"", ""Cooking basics"", ""Free dryer \u2013 In unit"", ""Kitchen"", ""HDTV with standard cable, Apple TV"", ""Hot water"", ""Dishwasher"", ""Heating"", ""Stove"", ""Free parking on premises"", ""Fire extinguisher"", ""Microwave"", ""Smoke alarm"", ""Hair dryer"", ""Refrigerator"", ""Wifi"", ""Essentials"", ""Self check-in"", ""Keypad"", ""Oven"", ""Carbon monoxide alarm"", ""Hangers"", ""Pets allowed"", ""Coffee maker"", ""Free washer \u2013 In unit"", ""Central air conditioning"", ""Dishes and silverware""]",116.0,2,1125,True,False
5651579,https://www.airbnb.com/rooms/5651579,2024-09-05,Large studio apt  by Capital Center & ESP@,"Spacious studio with hardwood floors, fully equipped kitchen, clean and bright. Large modern bath .  Full Cable TV and WiFi. Walking distance to the new Renaissance Hotel.<br />Walk to everything downtown! The Empire Plaza  and the Egg are  across the street.You can't get any closer, to the MVP Arena,  as well as Restaurants, bars, churches. Walk to  Capital and the new Capital Convention Center. Laundry facilities in the apartment","The neighborhood is very eclectic. We have a variety of restaurants, markets and shopping along with cultural things to do . the Capital is within a five minute walk as is the Empire Plaza. We have Cafe Capricio on Grand St for great northern Italian. Down the street we also have a traditional well known Italian restaurant Lombardos, for great red sauce. There are plenty of small cafe/ bars within walking distance too",https://a0.muscache.com/pictures/b3fc42f3-6e5e-4704-9d0f-8ceee5d32046.jpg,29288920,SECOND WARD,42.64615,-73.75966,Entire rental unit,Entire home/apt,2,1.0,1 bath,0.0,1.0,"[""Backyard"", ""Iron"", ""Shampoo"", ""Cooking basics"", ""Free dryer \u2013 In unit"", ""Kitchen"", ""Hot water"", ""Heating"", ""Private entrance"", ""Stove"", ""Dedicated workspace"", ""Free parking on premises"", ""Fire extinguisher"", ""Luggage dropoff allowed"", ""TV"", ""Microwave"", ""Smoke alarm"", ""Lockbox"", ""Air conditioning"", ""Hair dryer"", ""Refrigerator"", ""Wifi"", ""Bed linens"", ""Essentials"", ""Self check-in"", ""Oven"", ""Carbon monoxide alarm"", ""Free street parking"", ""Hangers"", ""Long term stays allowed"", ""Coffee maker"", ""Free washer \u2013 In unit"", ""Dishes and silverware""]",75.0,2,45,True,False
6623339,https://www.airbnb.com/rooms/6623339,2024-09-05,Center Sq. Loft in Converted Precinct w/ Parking,"Large renovated 1 bedroom apartment in converted police precinct with original tin ceilings. Center Square-the ""village in the city."" Located in a restored police precinct, you are within walking distance of everything, including verdant Washington Park, restaurants and pubs of Lark St., the state capitol, downtown, Albany Med/Law/Pharmacy.","Located in Albany's finest urban neighborhood, bordering on beautiful Washington Park and funky Lark Street with its many shops and restaurants,. The building is a walking distance to downtown, the Capitol, Albany Med, Albany Law, and SUNY Albany. Literally only steps to all of life's needs.",https://a0.muscache.com/pictures/prohost-api/Hosting-6623339/original/fe9b077d-2c75-458d-a4c1-71fed46d598a.jpeg,19648678,SIXTH WARD,42.65222,-73.76724,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Iron"", ""Shampoo"", ""Cooking basics"", ""Kitchen"", ""Hot water"", ""Extra pillows and blankets"", ""Dishwasher"", ""Heating"", ""TV with standard cable"", ""Private entrance"", ""Stove"", ""Free parking on premises"", ""Microwave"", ""Smoke alarm"", ""Air conditioning"", ""Hair dryer"", ""Refrigerator"", ""Wifi"", ""Bed linens"", ""Essentials"", ""Self check-in"", ""Keypad"", ""Washer"", ""Patio or balcony"", ""Dryer"", ""Oven"", ""Carbon monoxide alarm"", ""Free street parking"", ""Hangers"", ""Coffee maker"", ""Dishes and silverware""]",116.0,2,1125,True,False
8035768,https://www.airbnb.com/rooms/8035768,2024-09-05,Entire Beautiful French Victorian 1884,"Stunningly renovated French Victorian originally built in 1884 .  Two finely furnished bedrooms are available.  King or Queen size beds, down quilts, large closets, Wireless internet, apple TV, NETFLIX, and Direct TV HD Television, central A/C. All ideally located near the edge of Washington Park and Downtown Albany 's Entertainment and fine Dining. Walking distance from Albany Medical Center, St Rose College, Albany Law School.  On a main bus line. Off Street private parking is also provided.","There is a Barbershop with 1900' barber chairs and décor across the street (Duke's), there is a Mexican restaurant, Pizza and Italian take out, Gyro's, Joe's Chicken, a laundry mat and liquor store all with 2 blocks of the house.",https://a0.muscache.com/pictures/103429331/a0a6c0b1_original.jpg,42430824,TENTH WARD,42.66088,-73.78147,Entire home,Entire home/apt,6,3.5,3.5 baths,3.0,3.0,"[""Pocket wifi"", ""Smart lock"", ""Iron"", ""Shampoo"", ""Kitchen"", ""Dining table"", ""Hot water"", ""Extra pillows and blankets"", ""Dishwasher"", ""Heating"", ""Portable air conditioning"", ""Private entrance"", ""Freezer"", ""Window AC unit"", ""Exterior security cameras on property"", ""AC - split type ductless system"", ""Fire extinguisher"", ""Dedicated workspace"", ""Free parking on premises"", ""Luggage dropoff allowed"", ""Microwave"", ""First aid kit"", ""Private backyard \u2013 Fully fenced"", ""Mini fridge"", ""Smoke alarm"", ""Hair dryer"", ""Refrigerator"", ""Wifi"", ""Bed linens"", ""Essentials"", ""Self check-in"", ""Room-darkening shades"", ""Free dryer \u2013 In building"", ""Carbon monoxide alarm"", ""Indoor fireplace: gas"", ""Free street parking"", ""Free washer \u2013 In building"", ""Hangers"", ""Pets allowed"", ""Coffee maker"", ""Private patio or balcony"", ""Central air conditioning"", ""Long term stays allowed"", ""Dishes and silverware"", ""TV with Amazon Prime Video, Apple TV, Netflix, Roku, standard cable"", ""Laundromat nearby""]",305.0,2,1125,True,False
8035784,https://www.airbnb.com/rooms/8035784,2024-09-05,Delightful French Victorian,"Stunningly renovated French Victorian originally built in 1884 .  Two finely furnished bedrooms are available.  King or Queen size beds, down quilts, large closets, Wireless internet, apple TV, NETFLIX, and Direct TV HD Television, central A/C. All ideally located near the edge of Washington Park and Downtown Albany 's Entertainment and fine Dining. Walking distance from Albany Medical Center, St Rose College, Albany Law School.  On a main bus line. Off Street private parking is also provided.","There is a Barbershop with 1900' barber chairs and décor across the street (Duke's), there is a Mexican restaurant, Pizza and Italian take out, Gyro's, Joe's Chicken, a laundry mat and liquor store all with 2 blocks of the house.",https://a0.muscache.com/pictures/102414176/e6b76700_original.jpg,42430824,TENTH WARD,42.66063,-73.78115,Private room in home,Private room,2,2.5,2.5 shared baths,1.0,1.0,"[""Smart lock"", ""Backyard"", ""Iron"", ""Shampoo"", ""Hot water"", ""Extra pillows and blankets"", ""Heating"", ""TV with standard cable"", ""Private entrance"", ""Window AC unit"", ""Dedicated workspace"", ""Free parking on premises"", ""Fire extinguisher"", ""Microwave"", ""First aid kit"", ""Smoke alarm"", ""Hair dryer"", ""Refrigerator"", ""Wifi"", ""Bed linens"", ""Essentials"", ""Self check-in"", ""Lock on bedroom door"", ""Carbon monoxide alarm"", ""Free street parking"", ""Hangers"", ""Pets allowed"", ""Indoor fireplace"", ""Private patio or balcony"", ""Central air conditioning"", ""Long term stays allowed""]",199.0,3,65,True,False
9005989,https://www.airbnb.com/rooms/9005989,2024-09-05,"Studio in The heart of Center SQ, in Albany NY","(21 years of age or older ONLY) NON- SMOKING.. NO PARTIES Allowed.  Cozy basement apartment in a historic brownstone in the heart of ""Center Square"".  Surrounded by shops, restaurants, and night life. Walking distance to Albany Med, State Offices, The State Capital, and The Empire State Plaza. 30 mins from Saratoga Raceway. 50 mins from Lake George. 1/2 mile Palace theater","There are many shops, restaurants, bars, museums, and concert venues within walking distance of the apartment! The City’s largest park, Washington Park, is less than one block away!  Many State offices and Government buildings are also in close proximity.",https://a0.muscache.com/pictures/d242a77e-437c-4d0a-9029-005a05f8d282.jpg,17766924,SIXTH WARD,42.65559,-73.76506,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,2.0,"[""Smart lock"", ""Shampoo"", ""Cooking basics"", ""Kitchen"", ""Hot water"", ""Dishwasher"", ""Heating"", ""Private entrance"", ""Stove"", ""Window AC unit"", ""Fire extinguisher"", ""TV"", ""Microwave"", ""Shower gel"", ""Smoke alarm"", ""Hair dryer"", ""Refrigerator"", ""Wifi"", ""Bed linens"", ""Essentials"", ""Self check-in"", ""Portable fans"", ""Pack \u2019n play/Travel crib"", ""Oven"", ""Conditioner"", ""Carbon monoxide alarm"", ""Free street parking"", ""Hangers"", ""Pets allowed"", ""Coffee maker"", ""Long term stays allowed"", ""Dishes and silverware"", ""Laundromat nearby""]",86.0,1,1125,True,False
9501054,https://www.airbnb.com/rooms/9501054,2024-09-05,Spacious suite with full bath by Capital  Center,"Great location within walking distance to the Capital. It is a good size bedroom with WiFi internet . Private full bath.  We provide in the room a small refrigerator, Microwave ,coffee pot,iron ,hair dryer and  TV. Lots of entertainment nearby. Brew pubs, restaurants, the NYS Museum. Governor's Mansion. Washington Park.Capital Rep Theater as well as the Palace Theater.","The place is located in the Historic Mansion neighborhood . It""s  a great mix of people , close to everything there is to see and do in downtown Albany. Walk to the Governors Mansion, The new Capital Center Convention Center, The Times Union Center for entertainment , and all sorts of culinary delights. Plenty of brew pubs and Italian restaurants",https://a0.muscache.com/pictures/45153167-d704-48ed-9320-ab2f139bd352.jpg,29288920,SECOND WARD,42.64734,-73.75851,Private room in rental unit,Private room,2,1.0,1 private bath,1.0,2.0,"[""Iron"", ""Shampoo"", ""Hot water"", ""Heating"", ""TV with standard cable"", ""Private entrance"", ""Window AC unit"", ""Dedicated workspace"", ""Microwave"", ""Shower gel"", ""Mini fridge"", ""Smoke alarm"", ""Lockbox"", ""Hair dryer"", ""Refrigerator"", ""Wifi"", ""Bed linens"", ""Essentials"", ""Self check-in"", ""Portable fans"", ""Lock on bedroom door"", ""Carbon monoxide alarm"", ""Free street parking"", ""Hangers"", ""Long term stays allowed"", ""Coffee maker"", ""Dishes and silverware"", ""Laundromat nearby""]",65.0,1,60,True,False
10768745,https://www.airbnb.com/rooms/10768745,2024-09-05,Alb hospital area studio bath wifi. (Red),Spacious warm studio in 1840 house close to hospitals and downtown. Own bath flat screen cable tv wireless internet ground floor. Double bed coffee tea fridge microwave and parking. Suit 1. On park walk to post office cvs Chinese sports bar. Comfortable and decorated with taste. Irish host,no overview,https://a0.muscache.com/pictures/aa3b62f5-fbd8-4afd-8104-b93a8711d80f.jpg,5691268,FOURTEENTH WARD,42.66078,-73.80553,Entire home,Entire home/apt,1,1.0,1 bath,1.0,1.0,"[""Iron"", ""Shampoo"", ""Single level home"", ""Kitchen"", ""Hot water"", ""Heating"", ""TV with standard cable"", ""Window AC unit"", ""Dedicated workspace"", ""Free parking on premises"", ""Microwave"", ""Smoke alarm"", ""Lockbox"", ""Hair dryer"", ""Refrigerator"", ""Wifi"", ""Bed linens"", ""Essentials"", ""Self check-in"", ""Patio or balcony"", ""Oven"", ""Ethernet connection"", ""Carbon monoxide alarm"", ""Hangers"", ""Coffee maker"", ""Dishes and silverware""]",50.0,1,1125,True,False
11253948,https://www.airbnb.com/rooms/11253948,2024-09-05,/Fire Place Bungalow\ 1917 SUNY Eagle 6Beds 2Baths,"Cute single family bungalow (1200sqft) in a convenient location with the lots of restaurants, bars and shops right around the corner. <br /><br />Totally renovated with open floor plan.<br /><br />77” 2023 LG B3 OLED TV  just added to living room with Sonos surround + sub!<br /><br />3 Bedrooms with 1 King bed, 2 Queen beds, 1 Full sized bed and 2 airbeds can be added upon request.  Easy Parking two lane driveway by house.<br /><br />$50 pet fee, please inquire before booking, thank you!","The super convenient area is one of the big selling points for this house.   <br /><br />On the South side of Western we have in order from East to West:<br />V Salon, All Saints Catholic Church, CVS, Dragon City Restaurant, Torino Pizza & Pasta, Mani de Leo Hair Salon, Fiorello Bakery & Deli, Courtney's Salon, DC's Pizza, Maggie's Sports Bar & Cafe, Roman Jewels, Pixie Hair Salon, Barcelona Restaurant-Wine Bar, KeyBank, CityLine Bar and Grill, Escape Smoke Shop, Best Western Hotel, Casa Real Mexican Restaurant, Days Inn, Dunkin Donuts, Across the Street Pub and Restaurant, Starbucks.<br /><br />On the North side of Western we have in order from East to West:<br />Sunoco Gas, University Plaza (Rite Aid, PizzaHut, DiBella's Subs, Boston Market, Wine & Liquor, Uncommon Grounds Coffee & Bagels, Pet Supplies Plus, Subway, Mobile Gas, Mobile Mart), University of Albany, Miami Sun Tanning.<br /><br />Best Western Hotel and a Days Inn are less than a 7min walk from the house so any additional",https://a0.muscache.com/pictures/f0e43651-0834-4cbd-9d7d-72ef465a316d.jpg,4259750,FIFTEENTH WARD,42.67567,-73.82438,Entire place,Entire home/apt,10,2.0,2 baths,3.0,4.0,"[""Baking sheet"", ""BBQ grill"", ""Outdoor dining area"", ""Safe"", ""Hot water"", ""Ceiling fan"", ""Exterior security cameras on property"", ""Wine glasses"", ""Luggage dropoff allowed"", ""Garden view"", ""Cleaning available during stay"", ""Drying rack for clothing"", ""Smoke alarm"", ""Outdoor furniture"", ""Bed linens"", ""Barbecue utensils"", ""Private backyard \u2013 Not fully fenced"", ""Books and reading material"", ""Stainless steel oven"", ""65 inch HDTV with Roku, premium cable, Amazon Prime Video, standard cable, Apple TV, Netflix, Hulu"", ""Ethernet connection"", ""Fire pit"", ""Private patio or balcony"", ""Game console"", ""Clothing storage: walk-in closet and wardrobe"", ""Sonos sound system with Bluetooth and aux"", ""Iron"", ""Free dryer \u2013 In unit"", ""Blender"", ""Dishwasher"", ""Rice maker"", ""Window AC unit"", ""Dedicated workspace"", ""Fire extinguisher"", ""Sun loungers"", ""Board games"", ""Keypad"", ""Portable fans"", ""Toaster"", ""Room-darkening shades"", ""Conditioner"", ""Carbon monoxide alarm"", ""Free street parking"", ""Pets allowed"", ""Coffee maker"", ""Free washer \u2013 In unit"", ""High chair"", ""Dishes and silverware"", ""Coffee"", ""Cleaning products"", ""Shampoo"", ""Cooking basics"", ""Kitchen"", ""Dining table"", ""Private entrance"", ""Free parking on premises"", ""First aid kit"", ""Shower gel"", ""Body soap"", ""Hair dryer"", ""Essentials"", ""Pack \u2019n play/Travel crib"", ""Hot water kettle"", ""Babysitter recommendations"", ""Hangers"", ""Long term stays allowed"", ""Bathtub"", ""Baby safety gates"", ""Outlet covers"", ""Extra pillows and blankets"", ""Heating"", ""Freezer"", ""Microwave"", ""Baby bath"", ""Refrigerator"", ""Wifi"", ""Self check-in"", ""GE stainless steel gas stove"", ""Indoor fireplace: gas"", ""Laundromat nearby""]",214.0,1,1124,True,False
